p(MPa),E(MPa),rho(mg/mm3)
99.6,2168.12,0.84984
99.7,2168.93,0.84988
99.8,2169.75,0.84992
99.9,2170.57,0.84996
100.0,2171.40,0.85000
100.1,2172.24,0.85004
100.2,2173.08,0.85008
100.3,2173.92,0.85012
100.4,2174.77,0.85016
100.5,2175.60,0.85020
100.6,2176.43,0.85023
100.7,2177.24,0.85027
100.8,2178.06,0.85031
100.9,2178.88,0.85035
101.0,2179.70,0.85039
101.1,2180.53,0.85043
101.2,2181.37,0.85047
101.3,2182.21,0.85051
101.4,2183.06,0.85055
101.5,2183.90,0.85059
101.6,2184.74,0.85062
101.7,2185.58,0.85066
101.8,2186.42,0.85070
101.9,2187.26,0.85074
102.0,2188.10,0.85078
102.1,2188.94,0.85082
102.2,2189.78,0.85086
102.3,2190.62,0.85090
102.4,2191.46,0.85094
102.5,2192.30,0.85097
102.6,2193.14,0.85101
102.7,2193.97,0.85105
102.8,2194.81,0.85109
102.9,2195.65,0.85113
103.0,2196.50,0.85117
103.1,2197.36,0.85121
103.2,2198.22,0.85125
103.3,2199.08,0.85128
103.4,2199.95,0.85132
103.5,2200.80,0.85136
103.6,2201.64,0.85140
103.7,2202.48,0.85144
103.8,2203.32,0.85148
103.9,2204.16,0.85152
104.0,2205.00,0.85156
104.1,2205.86,0.85159
104.2,2206.72,0.85163
104.3,2207.58,0.85167
104.4,2208.44,0.85171
104.5,2209.30,0.85175
104.6,2210.15,0.85179
104.7,2210.98,0.85183
104.8,2211.82,0.85186
104.9,2212.66,0.85190
105.0,2213.50,0.85194
105.1,2214.35,0.85198
105.2,2215.21,0.85202
105.3,2216.07,0.85206
105.4,2216.94,0.85209
105.5,2217.80,0.85213
105.6,2218.66,0.85217
105.7,2219.52,0.85221
105.8,2220.38,0.85225
105.9,2221.24,0.85229
106.0,2222.10,0.85232
106.1,2222.96,0.85236
106.2,2223.82,0.85240
106.3,2224.68,0.85244
106.4,2225.54,0.85248
106.5,2226.40,0.85252
106.6,2227.26,0.85255
106.7,2228.11,0.85259
106.8,2228.97,0.85263
106.9,2229.83,0.85267
107.0,2230.70,0.85271
107.1,2231.58,0.85275
107.2,2232.46,0.85278
107.3,2233.34,0.85282
107.4,2234.23,0.85286
107.5,2235.10,0.85290
107.6,2235.97,0.85294
107.7,2236.82,0.85298
107.8,2237.68,0.85301
107.9,2238.54,0.85305
108.0,2239.40,0.85309
108.1,2240.27,0.85313
108.2,2241.15,0.85317
108.3,2242.03,0.85320
108.4,2242.92,0.85324
108.5,2243.80,0.85328
108.6,2244.68,0.85332
108.7,2245.56,0.85336
108.8,2246.44,0.85339
108.9,2247.32,0.85343
109.0,2248.20,0.85347
109.1,2249.08,0.85351
109.2,2249.96,0.85355
109.3,2250.84,0.85358
109.4,2251.72,0.85362
109.5,2252.60,0.85366
109.6,2253.48,0.85370
109.7,2254.36,0.85374
109.8,2255.24,0.85377
109.9,2256.12,0.85381
110.0,2257.00,0.85385
110.1,2257.88,0.85389
110.2,2258.75,0.85392
110.3,2259.63,0.85396
110.4,2260.51,0.85400
110.5,2261.40,0.85404
110.6,2262.30,0.85408
110.7,2263.20,0.85411
110.8,2264.10,0.85415
110.9,2265.01,0.85419
111.0,2265.90,0.85423
111.1,2266.79,0.85426
111.2,2267.66,0.85430
111.3,2268.54,0.85434
111.4,2269.42,0.85438
111.5,2270.30,0.85441
111.6,2271.19,0.85445
111.7,2272.09,0.85449
111.8,2272.99,0.85453
111.9,2273.90,0.85457
112.0,2274.80,0.85460
112.1,2275.70,0.85464
112.2,2276.60,0.85468
112.3,2277.50,0.85472
112.4,2278.40,0.85475
112.5,2279.30,0.85479
112.6,2280.20,0.85483
112.7,2281.10,0.85487
112.8,2282.00,0.85490
112.9,2282.90,0.85494
113.0,2283.80,0.85498
113.1,2284.70,0.85502
113.2,2285.60,0.85505
113.3,2286.50,0.85509
113.4,2287.40,0.85513
113.5,2288.30,0.85516
113.6,2289.20,0.85520
113.7,2290.09,0.85524
113.8,2290.99,0.85528
113.9,2291.89,0.85531
114.0,2292.80,0.85535
114.1,2293.72,0.85539
114.2,2294.64,0.85543
114.3,2295.56,0.85546
114.4,2296.49,0.85550
114.5,2297.40,0.85554
114.6,2298.31,0.85558
114.7,2299.20,0.85561
114.8,2300.10,0.85565
114.9,2301.00,0.85569
115.0,2301.90,0.85572
115.1,2302.81,0.85576
115.2,2303.73,0.85580
115.3,2304.65,0.85584
115.4,2305.58,0.85587
115.5,2306.50,0.85591
115.6,2307.42,0.85595
115.7,2308.34,0.85598
115.8,2309.26,0.85602
115.9,2310.18,0.85606
116.0,2311.10,0.85609
116.1,2312.02,0.85613
116.2,2312.94,0.85617
116.3,2313.86,0.85621
116.4,2314.78,0.85624
116.5,2315.70,0.85628
116.6,2316.62,0.85632
116.7,2317.54,0.85635
116.8,2318.46,0.85639
116.9,2319.38,0.85643
117.0,2320.30,0.85646
117.1,2321.22,0.85650
117.2,2322.13,0.85654
117.3,2323.05,0.85658
117.4,2323.97,0.85661
117.5,2324.90,0.85665
117.6,2325.83,0.85669
117.7,2326.77,0.85672
117.8,2327.71,0.85676
117.9,2328.66,0.85680
118.0,2329.60,0.85683
118.1,2330.54,0.85687
118.2,2331.48,0.85691
118.3,2332.42,0.85694
118.4,2333.36,0.85698
118.5,2334.30,0.85702
118.6,2335.24,0.85705
118.7,2336.18,0.85709
118.8,2337.12,0.85713
118.9,2338.06,0.85716
119.0,2339.00,0.85720
119.1,2339.94,0.85724
119.2,2340.88,0.85727
119.3,2341.82,0.85731
119.4,2342.76,0.85735
119.5,2343.70,0.85738
119.6,2344.64,0.85742
119.7,2345.58,0.85746
119.8,2346.52,0.85749
119.9,2347.46,0.85753
120.0,2348.40,0.85757
120.1,2349.34,0.85760
120.2,2350.28,0.85764
120.3,2351.22,0.85768
120.4,2352.16,0.85771
120.5,2353.10,0.85775
120.6,2354.04,0.85778
120.7,2354.97,0.85782
120.8,2355.91,0.85786
120.9,2356.85,0.85789
121.0,2357.80,0.85793
121.1,2358.75,0.85797
121.2,2359.71,0.85800
121.3,2360.67,0.85804
121.4,2361.64,0.85808
121.5,2362.60,0.85811
121.6,2363.56,0.85815
121.7,2364.52,0.85818
121.8,2365.48,0.85822
121.9,2366.44,0.85826
122.0,2367.40,0.85829
122.1,2368.36,0.85833
122.2,2369.32,0.85837
122.3,2370.28,0.85840
122.4,2371.24,0.85844
122.5,2372.20,0.85847
122.6,2373.16,0.85851
122.7,2374.12,0.85855
122.8,2375.08,0.85858
122.9,2376.04,0.85862
123.0,2377.00,0.85866
123.1,2377.96,0.85869
123.2,2378.91,0.85873
123.3,2379.87,0.85876
123.4,2380.83,0.85880
123.5,2381.80,0.85884
123.6,2382.78,0.85887
123.7,2383.76,0.85891
123.8,2384.74,0.85894
123.9,2385.73,0.85898
124.0,2386.70,0.85902
124.1,2387.67,0.85905
124.2,2388.62,0.85909
124.3,2389.58,0.85912
124.4,2390.54,0.85916
124.5,2391.50,0.85920
124.6,2392.47,0.85923
124.7,2393.45,0.85927
124.8,2394.43,0.85930
124.9,2395.41,0.85934
125.0,2396.40,0.85938
125.1,2397.38,0.85941
125.2,2398.37,0.85945
125.3,2399.35,0.85948
125.4,2400.32,0.85952
125.5,2401.30,0.85955
125.6,2402.27,0.85959
125.7,2403.25,0.85963
125.8,2404.23,0.85966
125.9,2405.21,0.85970
126.0,2406.20,0.85973
126.1,2407.20,0.85977
126.2,2408.20,0.85980
126.3,2409.20,0.85984
126.4,2410.21,0.85988
126.5,2411.20,0.85991
126.6,2412.19,0.85995
126.7,2413.16,0.85998
126.8,2414.14,0.86002
126.9,2415.12,0.86005
127.0,2416.10,0.86009
127.1,2417.09,0.86013
127.2,2418.09,0.86016
127.3,2419.09,0.86020
127.4,2420.10,0.86023
127.5,2421.10,0.86027
127.6,2422.10,0.86030
127.7,2423.10,0.86034
127.8,2424.10,0.86037
127.9,2425.10,0.86041
128.0,2426.10,0.86045
128.1,2427.10,0.86048
128.2,2428.10,0.86052
128.3,2429.10,0.86055
128.4,2430.10,0.86059
128.5,2431.10,0.86062
128.6,2432.10,0.86066
128.7,2433.10,0.86069
128.8,2434.10,0.86073
128.9,2435.10,0.86076
129.0,2436.10,0.86080
129.1,2437.10,0.86083
129.2,2438.09,0.86087
129.3,2439.09,0.86091
129.4,2440.09,0.86094
129.5,2441.10,0.86098
129.6,2442.11,0.86101
129.7,2443.13,0.86105
129.8,2444.15,0.86108
129.9,2445.17,0.86112
130.0,2446.20,0.86115
130.1,2447.23,0.86119
130.2,2448.25,0.86122
130.3,2449.28,0.86126
130.4,2450.29,0.86129
130.5,2451.30,0.86133
130.6,2452.30,0.86136
130.7,2453.29,0.86140
130.8,2454.29,0.86143
130.9,2455.29,0.86147
131.0,2456.30,0.86150
131.1,2457.33,0.86154
131.2,2458.37,0.86157
131.3,2459.41,0.86161
131.4,2460.46,0.86164
131.5,2461.50,0.86168
131.6,2462.53,0.86171
131.7,2463.56,0.86175
131.8,2464.57,0.86178
131.9,2465.59,0.86182
132.0,2466.60,0.86185
132.1,2467.61,0.86189
132.2,2468.63,0.86192
132.3,2469.65,0.86196
132.4,2470.67,0.86199
132.5,2471.70,0.86203
132.6,2472.73,0.86206
132.7,2473.77,0.86210
132.8,2474.81,0.86213
132.9,2475.86,0.86217
133.0,2476.90,0.86220
133.1,2477.94,0.86224
133.2,2478.98,0.86227
133.3,2480.02,0.86231
133.4,2481.06,0.86234
133.5,2482.10,0.86238
133.6,2483.14,0.86241
133.7,2484.18,0.86245
133.8,2485.22,0.86248
133.9,2486.26,0.86251
134.0,2487.30,0.86255
134.1,2488.34,0.86258
134.2,2489.38,0.86262
134.3,2490.42,0.86265
134.4,2491.46,0.86269
134.5,2492.50,0.86272
134.6,2493.54,0.86276
134.7,2494.57,0.86279
134.8,2495.61,0.86283
134.9,2496.65,0.86286
135.0,2497.70,0.86290
135.1,2498.75,0.86293
135.2,2499.81,0.86296
135.3,2500.87,0.86300
135.4,2501.94,0.86303
135.5,2503.00,0.86307
135.6,2504.06,0.86310
135.7,2505.12,0.86314
135.8,2506.18,0.86317
135.9,2507.24,0.86321
136.0,2508.30,0.86324
136.1,2509.36,0.86328
136.2,2510.42,0.86331
136.3,2511.48,0.86334
136.4,2512.54,0.86338
136.5,2513.60,0.86341
136.6,2514.66,0.86345
136.7,2515.72,0.86348
136.8,2516.78,0.86352
136.9,2517.84,0.86355
137.0,2518.90,0.86358
137.1,2519.96,0.86362
137.2,2521.01,0.86365
137.3,2522.07,0.86369
137.4,2523.13,0.86372
137.5,2524.20,0.86376
137.6,2525.28,0.86379
137.7,2526.36,0.86382
137.8,2527.44,0.86386
137.9,2528.52,0.86389
138.0,2529.60,0.86393
138.1,2530.67,0.86396
138.2,2531.73,0.86399
138.3,2532.78,0.86403
138.4,2533.84,0.86406
138.5,2534.90,0.86410
138.6,2535.97,0.86413
138.7,2537.04,0.86417
138.8,2538.12,0.86420
138.9,2539.21,0.86423
139.0,2540.30,0.86427
139.1,2541.40,0.86430
139.2,2542.50,0.86434
139.3,2543.60,0.86437
139.4,2544.70,0.86440
139.5,2545.80,0.86444
139.6,2546.89,0.86447
139.7,2547.97,0.86450
139.8,2549.05,0.86454
139.9,2550.13,0.86457
140.0,2551.20,0.86461
140.1,2552.27,0.86464
140.2,2553.35,0.86467
140.3,2554.43,0.86471
140.4,2555.51,0.86474
140.5,2556.60,0.86478
140.6,2557.69,0.86481
140.7,2558.79,0.86484
140.8,2559.89,0.86488
140.9,2561.00,0.86491
141.0,2562.10,0.86494
141.1,2563.20,0.86498
141.2,2564.30,0.86501
141.3,2565.40,0.86505
141.4,2566.50,0.86508
141.5,2567.60,0.86511
141.6,2568.70,0.86515
141.7,2569.79,0.86518
141.8,2570.89,0.86521
141.9,2571.99,0.86525
142.0,2573.10,0.86528
142.1,2574.22,0.86532
142.2,2575.34,0.86535
142.3,2576.46,0.86538
142.4,2577.59,0.86542
142.5,2578.70,0.86545
142.6,2579.81,0.86548
142.7,2580.90,0.86552
142.8,2582.00,0.86555
142.9,2583.10,0.86558
143.0,2584.20,0.86562
143.1,2585.31,0.86565
143.2,2586.43,0.86568
143.3,2587.55,0.86572
143.4,2588.67,0.86575
143.5,2589.80,0.86578
143.6,2590.92,0.86582
143.7,2592.05,0.86585
143.8,2593.17,0.86589
143.9,2594.28,0.86592
144.0,2595.40,0.86595
144.1,2596.51,0.86599
144.2,2597.63,0.86602
144.3,2598.75,0.86605
144.4,2599.87,0.86609
144.5,2601.00,0.86612
144.6,2602.14,0.86615
144.7,2603.28,0.86619
144.8,2604.42,0.86622
144.9,2605.57,0.86625
145.0,2606.70,0.86628
145.1,2607.83,0.86632
145.2,2608.94,0.86635
145.3,2610.06,0.86638
145.4,2611.18,0.86642
145.5,2612.30,0.86645
145.6,2613.43,0.86648
145.7,2614.57,0.86652
145.8,2615.71,0.86655
145.9,2616.86,0.86658
146.0,2618.00,0.86662
146.1,2619.14,0.86665
146.2,2620.28,0.86668
146.3,2621.42,0.86672
146.4,2622.56,0.86675
146.5,2623.70,0.86678
146.6,2624.84,0.86681
146.7,2625.97,0.86685
146.8,2627.11,0.86688
146.9,2628.25,0.86691
147.0,2629.40,0.86695
147.1,2630.55,0.86698
147.2,2631.71,0.86701
147.3,2632.87,0.86705
147.4,2634.03,0.86708
147.5,2635.20,0.86711
147.6,2636.37,0.86714
147.7,2637.53,0.86718
147.8,2638.70,0.86721
147.9,2639.85,0.86724
148.0,2641.00,0.86728
148.1,2642.14,0.86731
148.2,2643.27,0.86734
148.3,2644.41,0.86737
148.4,2645.55,0.86741
148.5,2646.70,0.86744
148.6,2647.87,0.86747
148.7,2649.05,0.86751
148.8,2650.24,0.86754
148.9,2651.42,0.86757
149.0,2652.60,0.86760
149.1,2653.77,0.86764
149.2,2654.92,0.86767
149.3,2656.08,0.86770
149.4,2657.24,0.86773
149.5,2658.40,0.86777
149.6,2659.57,0.86780
149.7,2660.76,0.86783
149.8,2661.94,0.86786
149.9,2663.12,0.86790
150.0,2664.30,0.86793
150.1,2665.47,0.86796
150.2,2666.63,0.86800
150.3,2667.78,0.86803
150.4,2668.94,0.86806
150.5,2670.10,0.86809
150.6,2671.27,0.86813
150.7,2672.44,0.86816
150.8,2673.62,0.86819
150.9,2674.81,0.86822
151.0,2676.00,0.86826
151.1,2677.20,0.86829
151.2,2678.40,0.86832
151.3,2679.61,0.86835
151.4,2680.81,0.86838
151.5,2682.00,0.86842
151.6,2683.18,0.86845
151.7,2684.36,0.86848
151.8,2685.54,0.86851
151.9,2686.72,0.86855
152.0,2687.90,0.86858
152.1,2689.09,0.86861
152.2,2690.29,0.86864
152.3,2691.49,0.86868
152.4,2692.69,0.86871
152.5,2693.90,0.86874
152.6,2695.10,0.86877
152.7,2696.31,0.86880
152.8,2697.51,0.86884
152.9,2698.70,0.86887
153.0,2699.90,0.86890
153.1,2701.09,0.86893
153.2,2702.29,0.86897
153.3,2703.49,0.86900
153.4,2704.69,0.86903
153.5,2705.90,0.86906
153.6,2707.12,0.86909
153.7,2708.34,0.86913
153.8,2709.56,0.86916
153.9,2710.79,0.86919
154.0,2712.00,0.86922
154.1,2713.21,0.86925
154.2,2714.40,0.86929
154.3,2715.60,0.86932
154.4,2716.80,0.86935
154.5,2718.00,0.86938
154.6,2719.21,0.86941
154.7,2720.43,0.86945
154.8,2721.65,0.86948
154.9,2722.88,0.86951
155.0,2724.10,0.86954
155.1,2725.32,0.86957
155.2,2726.54,0.86961
155.3,2727.75,0.86964
155.4,2728.98,0.86967
155.5,2730.20,0.86970
155.6,2731.43,0.86973
155.7,2732.67,0.86977
155.8,2733.91,0.86980
155.9,2735.15,0.86983
156.0,2736.40,0.86986
156.1,2737.65,0.86989
156.2,2738.89,0.86992
156.3,2740.14,0.86996
156.4,2741.37,0.86999
156.5,2742.60,0.87002
156.6,2743.82,0.87005
156.7,2745.03,0.87008
156.8,2746.25,0.87011
156.9,2747.47,0.87015
157.0,2748.70,0.87018
157.1,2749.95,0.87021
157.2,2751.21,0.87024
157.3,2752.48,0.87027
157.4,2753.74,0.87030
157.5,2755.00,0.87034
157.6,2756.25,0.87037
157.7,2757.49,0.87040
157.8,2758.72,0.87043
157.9,2759.96,0.87046
158.0,2761.20,0.87049
158.1,2762.45,0.87053
158.2,2763.71,0.87056
158.3,2764.97,0.87059
158.4,2766.24,0.87062
158.5,2767.50,0.87065
158.6,2768.76,0.87068
158.7,2770.02,0.87071
158.8,2771.28,0.87075
158.9,2772.54,0.87078
159.0,2773.80,0.87081
159.1,2775.06,0.87084
159.2,2776.32,0.87087
159.3,2777.58,0.87090
159.4,2778.84,0.87093
159.5,2780.10,0.87097
159.6,2781.36,0.87100
159.7,2782.61,0.87103
159.8,2783.87,0.87106
159.9,2785.13,0.87109
160.0,2786.40,0.87112
160.1,2787.67,0.87115
160.2,2788.95,0.87118
160.3,2790.23,0.87122
160.4,2791.52,0.87125
160.5,2792.80,0.87128
160.6,2794.08,0.87131
160.7,2795.36,0.87134
160.8,2796.64,0.87137
160.9,2797.92,0.87140
161.0,2799.20,0.87143
161.1,2800.48,0.87147
161.2,2801.76,0.87150
161.3,2803.04,0.87153
161.4,2804.32,0.87156
161.5,2805.60,0.87159
161.6,2806.88,0.87162
161.7,2808.15,0.87165
161.8,2809.43,0.87168
161.9,2810.71,0.87171
162.0,2812.00,0.87174
162.1,2813.29,0.87178
162.2,2814.59,0.87181
162.3,2815.89,0.87184
162.4,2817.20,0.87187
162.5,2818.50,0.87190
162.6,2819.80,0.87193
162.7,2821.10,0.87196
162.8,2822.40,0.87199
162.9,2823.70,0.87202
163.0,2825.00,0.87205
163.1,2826.30,0.87208
163.2,2827.59,0.87212
163.3,2828.89,0.87215
163.4,2830.19,0.87218
163.5,2831.50,0.87221
163.6,2832.81,0.87224
163.7,2834.13,0.87227
163.8,2835.45,0.87230
163.9,2836.78,0.87233
164.0,2838.10,0.87236
164.1,2839.42,0.87239
164.2,2840.74,0.87242
164.3,2842.06,0.87245
164.4,2843.38,0.87248
164.5,2844.70,0.87252
164.6,2846.02,0.87255
164.7,2847.34,0.87258
164.8,2848.66,0.87261
164.9,2849.98,0.87264
165.0,2851.30,0.87267
165.1,2852.62,0.87270
165.2,2853.93,0.87273
165.3,2855.25,0.87276
165.4,2856.57,0.87279
165.5,2857.90,0.87282
165.6,2859.24,0.87285
165.7,2860.58,0.87288
165.8,2861.93,0.87291
165.9,2863.27,0.87294
166.0,2864.60,0.87297
166.1,2865.92,0.87300
166.2,2867.24,0.87303
166.3,2868.55,0.87307
166.4,2869.87,0.87310
166.5,2871.20,0.87313
166.6,2872.55,0.87316
166.7,2873.91,0.87319
166.8,2875.27,0.87322
166.9,2876.64,0.87325
167.0,2878.00,0.87328
167.1,2879.35,0.87331
167.2,2880.69,0.87334
167.3,2882.02,0.87337
167.4,2883.36,0.87340
167.5,2884.70,0.87343
167.6,2886.05,0.87346
167.7,2887.41,0.87349
167.8,2888.77,0.87352
167.9,2890.13,0.87355
168.0,2891.50,0.87358
168.1,2892.86,0.87361
168.2,2894.23,0.87364
168.3,2895.59,0.87367
168.4,2896.94,0.87370
168.5,2898.30,0.87373
168.6,2899.65,0.87376
168.7,2901.01,0.87379
168.8,2902.37,0.87382
168.9,2903.73,0.87385
169.0,2905.10,0.87388
169.1,2906.48,0.87391
169.2,2907.86,0.87394
169.3,2909.25,0.87397
169.4,2910.63,0.87400
169.5,2912.00,0.87403
169.6,2913.36,0.87406
169.7,2914.71,0.87409
169.8,2916.07,0.87412
169.9,2917.43,0.87415
170.0,2918.80,0.87418
170.1,2920.19,0.87421
170.2,2921.59,0.87424
170.3,2922.99,0.87427
170.4,2924.40,0.87430
170.5,2925.80,0.87433
170.6,2927.19,0.87436
170.7,2928.57,0.87439
170.8,2929.94,0.87442
170.9,2931.32,0.87445
171.0,2932.70,0.87448
171.1,2934.09,0.87451
171.2,2935.49,0.87454
171.3,2936.89,0.87457
171.4,2938.29,0.87460
171.5,2939.70,0.87463
171.6,2941.10,0.87466
171.7,2942.51,0.87469
171.8,2943.90,0.87472
171.9,2945.30,0.87475
172.0,2946.70,0.87478
172.1,2948.10,0.87481
172.2,2949.49,0.87484
172.3,2950.89,0.87487
172.4,2952.29,0.87490
172.5,2953.70,0.87493
172.6,2955.11,0.87496
172.7,2956.53,0.87499
172.8,2957.95,0.87502
172.9,2959.38,0.87505
173.0,2960.80,0.87508
173.1,2962.22,0.87510
173.2,2963.64,0.87513
173.3,2965.07,0.87516
173.4,2966.48,0.87519
173.5,2967.90,0.87522
173.6,2969.31,0.87525
173.7,2970.73,0.87528
173.8,2972.15,0.87531
173.9,2973.57,0.87534
174.0,2975.00,0.87537
174.1,2976.44,0.87540
174.2,2977.88,0.87543
174.3,2979.33,0.87546
174.4,2980.77,0.87549
174.5,2982.20,0.87552
174.6,2983.62,0.87555
174.7,2985.03,0.87558
174.8,2986.45,0.87560
174.9,2987.87,0.87563
175.0,2989.30,0.87566
175.1,2990.75,0.87569
175.2,2992.21,0.87572
175.3,2993.68,0.87575
175.4,2995.14,0.87578
175.5,2996.60,0.87581
175.6,2998.05,0.87584
175.7,2999.49,0.87587
175.8,3000.92,0.87590
175.9,3002.36,0.87593
176.0,3003.80,0.87596
176.1,3005.25,0.87598
176.2,3006.71,0.87601
176.3,3008.17,0.87604
176.4,3009.64,0.87607
176.5,3011.10,0.87610
176.6,3012.56,0.87613
176.7,3014.01,0.87616
176.8,3015.47,0.87619
176.9,3016.93,0.87622
177.0,3018.40,0.87625
177.1,3019.88,0.87628
177.2,3021.36,0.87630
177.3,3022.84,0.87633
177.4,3024.32,0.87636
177.5,3025.80,0.87639
177.6,3027.27,0.87642
177.7,3028.73,0.87645
177.8,3030.18,0.87648
177.9,3031.64,0.87651
178.0,3033.10,0.87654
178.1,3034.57,0.87657
178.2,3036.04,0.87659
178.3,3037.52,0.87662
178.4,3039.01,0.87665
178.5,3040.50,0.87668
178.6,3042.00,0.87671
178.7,3043.49,0.87674
178.8,3045.00,0.87677
178.9,3046.50,0.87680
179.0,3048.00,0.87682
179.1,3049.50,0.87685
179.2,3051.00,0.87688
179.3,3052.50,0.87691
179.4,3054.00,0.87694
179.5,3055.50,0.87697
179.6,3057.00,0.87700
179.7,3058.50,0.87703
179.8,3060.00,0.87705
179.9,3061.50,0.87708
180.0,3063.00,0.87711
180.1,3064.50,0.87714
180.2,3065.99,0.87717
180.3,3067.49,0.87720
180.4,3068.99,0.87723
180.5,3070.50,0.87725
180.6,3072.01,0.87728
180.7,3073.53,0.87731
180.8,3075.05,0.87734
180.9,3076.58,0.87737
181.0,3078.10,0.87740
181.1,3079.62,0.87743
181.2,3081.14,0.87745
181.3,3082.66,0.87748
181.4,3084.18,0.87751
181.5,3085.70,0.87754
181.6,3087.22,0.87757
181.7,3088.73,0.87760
181.8,3090.25,0.87763
181.9,3091.77,0.87765
182.0,3093.30,0.87768
182.1,3094.83,0.87771
182.2,3096.37,0.87774
182.3,3097.92,0.87777
182.4,3099.46,0.87780
182.5,3101.00,0.87782
182.6,3102.54,0.87785
182.7,3104.08,0.87788
182.8,3105.61,0.87791
182.9,3107.15,0.87794
183.0,3108.70,0.87796
183.1,3110.25,0.87799
183.2,3111.81,0.87802
183.3,3113.37,0.87805
183.4,3114.94,0.87808
183.5,3116.50,0.87811
183.6,3118.06,0.87813
183.7,3119.62,0.87816
183.8,3121.18,0.87819
183.9,3122.74,0.87822
184.0,3124.30,0.87825
184.1,3125.86,0.87827
184.2,3127.42,0.87830
184.3,3128.98,0.87833
184.4,3130.54,0.87836
184.5,3132.10,0.87839
184.6,3133.66,0.87842
184.7,3135.21,0.87844
184.8,3136.77,0.87847
184.9,3138.33,0.87850
185.0,3139.90,0.87853
185.1,3141.47,0.87856
185.2,3143.05,0.87858
185.3,3144.64,0.87861
185.4,3146.22,0.87864
185.5,3147.80,0.87867
185.6,3149.38,0.87869
185.7,3150.96,0.87872
185.8,3152.53,0.87875
185.9,3154.11,0.87878
186.0,3155.70,0.87881
186.1,3157.29,0.87883
186.2,3158.89,0.87886
186.3,3160.49,0.87889
186.4,3162.10,0.87892
186.5,3163.70,0.87895
186.6,3165.30,0.87897
186.7,3166.90,0.87900
186.8,3168.50,0.87903
186.9,3170.10,0.87906
187.0,3171.70,0.87908
187.1,3173.30,0.87911
187.2,3174.89,0.87914
187.3,3176.49,0.87917
187.4,3178.09,0.87919
187.5,3179.70,0.87922
187.6,3181.31,0.87925
187.7,3182.93,0.87928
187.8,3184.56,0.87931
187.9,3186.18,0.87933
188.0,3187.80,0.87936
188.1,3189.42,0.87939
188.2,3191.03,0.87942
188.3,3192.65,0.87944
188.4,3194.27,0.87947
188.5,3195.90,0.87950
188.6,3197.54,0.87953
188.7,3199.18,0.87955
188.8,3200.83,0.87958
188.9,3202.47,0.87961
189.0,3204.10,0.87964
189.1,3205.72,0.87966
189.2,3207.34,0.87969
189.3,3208.95,0.87972
189.4,3210.57,0.87975
189.5,3212.20,0.87977
189.6,3213.85,0.87980
189.7,3215.51,0.87983
189.8,3217.17,0.87985
189.9,3218.84,0.87988
190.0,3220.50,0.87991
190.1,3222.15,0.87994
190.2,3223.79,0.87996
190.3,3225.43,0.87999
190.4,3227.06,0.88002
190.5,3228.70,0.88005
190.6,3230.35,0.88007
190.7,3232.00,0.88010
190.8,3233.66,0.88013
190.9,3235.33,0.88015
191.0,3237.00,0.88018
191.1,3238.68,0.88021
191.2,3240.37,0.88024
191.3,3242.05,0.88026
191.4,3243.73,0.88029
191.5,3245.40,0.88032
191.6,3247.06,0.88035
191.7,3248.71,0.88037
191.8,3250.37,0.88040
191.9,3252.03,0.88043
192.0,3253.70,0.88045
192.1,3255.39,0.88048
192.2,3257.09,0.88051
192.3,3258.80,0.88053
192.4,3260.50,0.88056
192.5,3262.20,0.88059
192.6,3263.89,0.88062
192.7,3265.57,0.88064
192.8,3267.24,0.88067
192.9,3268.92,0.88070
193.0,3270.60,0.88072
193.1,3272.29,0.88075
193.2,3273.99,0.88078
193.3,3275.69,0.88080
193.4,3277.40,0.88083
193.5,3279.10,0.88086
193.6,3280.80,0.88088
193.7,3282.50,0.88091
193.8,3284.19,0.88094
193.9,3285.89,0.88097
194.0,3287.60,0.88099
194.1,3289.31,0.88102
194.2,3291.03,0.88105
194.3,3292.76,0.88107
194.4,3294.48,0.88110
194.5,3296.20,0.88113
194.6,3297.92,0.88115
194.7,3299.64,0.88118
194.8,3301.35,0.88121
194.9,3303.07,0.88123
195.0,3304.80,0.88126
195.1,3306.53,0.88129
195.2,3308.27,0.88131
195.3,3310.02,0.88134
195.4,3311.76,0.88137
195.5,3313.50,0.88139
195.6,3315.24,0.88142
195.7,3316.97,0.88145
195.8,3318.71,0.88147
195.9,3320.45,0.88150
196.0,3322.20,0.88153
196.1,3323.96,0.88155
196.2,3325.72,0.88158
196.3,3327.49,0.88160
196.4,3329.25,0.88163
196.5,3331.00,0.88166
196.6,3332.74,0.88168
196.7,3334.47,0.88171
196.8,3336.21,0.88174
196.9,3337.95,0.88176
197.0,3339.70,0.88179
197.1,3341.47,0.88182
197.2,3343.25,0.88184
197.3,3345.04,0.88187
197.4,3346.82,0.88190
197.5,3348.60,0.88192
197.6,3350.36,0.88195
197.7,3352.12,0.88197
197.8,3353.87,0.88200
197.9,3355.63,0.88203
198.0,3357.40,0.88205
198.1,3359.19,0.88208
198.2,3360.99,0.88211
198.3,3362.79,0.88213
198.4,3364.60,0.88216
198.5,3366.40,0.88218
198.6,3368.19,0.88221
198.7,3369.97,0.88224
198.8,3371.74,0.88226
198.9,3373.52,0.88229
199.0,3375.30,0.88232
199.1,3377.09,0.88234
199.2,3378.88,0.88237
199.3,3380.68,0.88239
